"","Group","filename","unittitle.text","didunitdate.text","didlanguage.attrs","didabstract.text","level","primarynode.attrs","didunitdate.attrs","container.text","didcontainer.attrs.1","didcontainer.attrs.2","scopecontentid.attrs","scopecontenthead.text","scopecontentp.text","accessrestrictid.attrs","accessrestricthead.text","accessrestrictp.text","note.text","Hierarchical_Relationship","Description_Level","Year_Num"
"11647",3751,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SKHIDNYI CHASOPYS Redaktsiina kolegiia: Biletskyi, V., et al. Donetsk, Ukraine. Weekly. 1992-",NA,NA,NA,"series","series",NA,"351","Box","Box: ",NA,NA,NA,NA,NA,NA,"1992: no. 1(4(13763) [sic], no. 11-121993: no. 27(40), no. 29(42)1994: no. 3(54)",1,"Series",NA
"11648",3751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1992: no. 1(4(13763) [sic], 11-12"
"11649",3751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1993: no. 27(40), 29(42)"
"11650",3751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1994: no. 3(54)"
"11651",3752,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SKHOD izdanie gruppy SNF. Redaktsionnaia gruppa: Morozov, A., et al. Smolensk, RSFSR. 1990?-",NA,NA,NA,"series","series",NA,"351","Box","Box: ",NA,NA,NA,NA,NA,NA,"1990: June",1,"Series",NA
"11652",3752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1990: no.  June"
"11653",3753,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SKHODKA svobodnyi mezhprofessional'nyi soiuz ""Rabochaia Solidarnost'. Minsk, Byelorussia. 1990?-",NA,NA,NA,"series","series",NA,"545","Box","Box: ",NA,NA,NA,NA,NA,NA,"1990? no. 1",1,"Series",NA
"11654",3753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1990?: no. 1"
"11655",3754,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SLAVASlava slavianskoi Rusi vo Khriste Redaktor Petukhov-Vaulin P. R. Richmond, Maine, USA. 1997",NA,NA,NA,"series","series",NA,"545","Box","Box: ",NA,NA,NA,NA,NA,NA,"1996: no. 3(137)1997: no. 1(139)",1,"Series",NA
"11656",3754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1996: no. 3(137)"
